2024-09-05 11:27:48.818 [main] INFO  - Url opened
2024-09-05 11:27:50.650 [main] INFO  - Click on singup/login button
2024-09-05 11:27:50.662 [main] INFO  - Get the title of homepage: 
2024-09-05 11:27:50.664 [main] INFO  - Enter into signup page for login
2024-09-05 11:27:50.687 [main] INFO  - Login for registred user visible:  
2024-09-05 11:27:50.768 [main] INFO  - Entring email id done:  
2024-09-05 11:27:52.932 [main] INFO  - click on login for registed user:  
2024-09-05 11:27:54.079 [main] INFO  - Click on Product 
2024-09-05 11:27:54.081 [main] INFO  - Entering into product search page: 
2024-09-05 11:27:54.223 [main] INFO  - click on search product and enter TShirt
2024-09-05 11:27:56.058 [main] INFO  - Enter into serch result of Tshirt:  
2024-09-05 11:27:56.089 [main] INFO  - Java Script entring to scroll page to locate element:   
2024-09-05 11:27:58.553 [main] INFO  - Enter into View product details:   
2024-09-05 11:27:58.565 [main] INFO  - product detail page title: Automation Exercise - Product Details
2024-09-05 11:27:58.755 [main] INFO  - product added into cart...
2024-09-05 11:28:04.738 [main] INFO  - checkout page title:  Automation Exercise - Checkout
2024-09-05 11:28:04.821 [main] INFO  - Address found wrong: 
